Air_Humidity_WeatherStation_percent,Date,Device
54.9,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110034
53.7,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110033
54.9,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110036
50.8,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120001
49.6,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120002
53.3,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110035
54.2,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110032
52.2,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110031
48.3,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120003
41.4,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120003
42.1,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120001
46.5,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110031
46.4,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110033
46.7,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110035
41.4,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120002
47.6,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110034
47.8,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110036
47.2,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110032
44.8,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110035
39.8,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120001
45.1,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110034
44.8,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110031
39.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120003
45.0,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110032
45.6,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110036
39.3,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120002
44.0,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110033
45.1,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110034
40.0,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120003
39.8,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120001
44.9,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110031
39.5,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120002
44.0,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110033
45.0,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110035
44.8,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110032
45.5,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110036
