air_temperature_thermocouple_degreeCelsius,Date,Device
19.3,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110046
19.7,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110047
19.4,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110048
19.5,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110044
19.6,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110045
19.2,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120007
20.2,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110043
19.5,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120009
19.4,2017-04-17T00:00:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120008
22.1,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110047
21.8,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110046
21.9,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110048
22.0,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110045
21.9,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110044
21.8,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120009
22.1,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110043
22.0,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120007
22.0,2017-04-16T23:45:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120008
22.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110044
22.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110048
22.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120007
22.6,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120009
23.0,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110045
23.0,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110047
22.8,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110046
22.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120008
22.9,2017-04-16T23:30:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110043
23.2,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110045
23.0,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110046
23.0,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110043
23.1,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120008
22.7,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120009
23.1,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110048
23.1,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2012/sa120007
23.1,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110047
23.2,2017-04-16T23:15:00.000Z,http://www.phenome-fppn.fr/m3p/id/dyn/2011/sa110044
