uri,name,type,Irrigation,Germplasm_type_1,Germplasm_1,Species_1,testfactor,Germplasm_type_2,Germplasm_2,Species_2,Germplasm_type_3,Germplasm_3,Species_3,Variety_3,Variety_1,Accession_1
http://www.phenome-fppn.fr/m3p/arch/2017/c17000036,0036/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Veg_1/01_36/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17000201,0201/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_1/04_21/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17000452,0452/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_2/08_32/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17000690,0690/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_3/12_30/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17000766,0766/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Veg_2/13_46/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17000909,0909/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_4/16_09/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17001172,1172/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_5/20_32/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17001220,1220/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Veg_3/21_20/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17001401,1401/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_6/24_21/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
http://www.phenome-fppn.fr/m3p/arch/2017/c17001659,1659/DZ_PG_38/ZM1289/test:id/factor/za17-bis.irrigation.wd/Rep_7/28_39/ARCH2017-03-30,Plant,WD,ScionLot,ZM1289,Zea mays,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
